"heading","guestCapacity","startingPrice","address","phoneNumber","emailAddresses","websiteLink","knotPageLink","category","location"
"ShamyaSlays","N/A","N/A","N/A","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/shamyaslays-dothan-al-2049850","beauty-services","Jefferson, AL"
"Southern Reflections Hair Salon","N/A","N/A","122 West Court Square,, Ozark, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/southern-reflections-hair-salon-ozark-al-2052124","beauty-services","Jefferson, AL"
"Bama DJs LLC","N/A","Starting Cost: $$ – Affordable","Birmingham, Huntsville and Alabama","+115177159083","[""jim@bamadjs.com""]","http://www.bamadjs.com?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.theknot.com/marketplace/bama-djs-llc-birmingham-al-2084312","wedding-djs","Jefferson, AL"
"The Music Guys","N/A","N/A","All of Alabama, Florida Panhandle, West Georgia","+1(334) 312-3991","[""jim@themusicguys.com""]","http://www.themusicguys.com/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.theknot.com/marketplace/the-music-guys-montgomery-al-394785","wedding-djs","Jefferson, AL"
"Party Time Productions-Let's have some FUN!","N/A","Starting Cost: $$$ – Moderate","Georgia, Florida, Tennessee, Alabama, & The Carolinas","+1(844) 378-7669,1","[""bookings@ptpdj.com""]","https://ptpweddingdj.com/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.theknot.com/marketplace/party-time-productionslets-have-some-fun-atlanta-ga-497176","wedding-djs","Jefferson, AL"
"Top Tier Entertainment","N/A","N/A","Montgomery, AL   Central Alabama area","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/top-tier-entertainment-montgomery-al-845707","wedding-djs","Jefferson, AL"
"""Party On A Budget""","N/A","N/A","Serving South Central Alabama and surrounding areas","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/party-on-a-budget-greenville-al-491046","wedding-djs","Jefferson, AL"
"Underwood’s Entertainment Services","N/A","N/A","Montgomery, AL Birmingham, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/underwoods-entertainment-services-deatsville-al-2070758","wedding-djs","Jefferson, AL"
"Perfect moment Wedding Agency","N/A","N/A","N/A","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/perfect-moment-wedding-agency-enterprise-al-2076384","wedding-djs","Jefferson, AL"
"Oz Entertainment","N/A","N/A","919 Felder Ave, Montgomery, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/oz-entertainment-montgomery-al-752780","wedding-djs","Jefferson, AL"
"DJ at Large","N/A","N/A","564 Oliver Rd, Montgomery, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/dj-at-large-montgomery-al-758280","wedding-djs","Jefferson, AL"
"Hubcap Classics","N/A","N/A","Montgomery, Alabama River Region including Prattville, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/hubcap-classics-montgomery-al-965693","wedding-djs","Jefferson, AL"
"Titan Magic Shows and Party Rentals","N/A","N/A","N/A","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/titan-magic-shows-and-party-rentals-daleville-al-1012281","wedding-djs","Jefferson, AL"
"Dat Band","N/A","Starting Cost: $$ – Affordable","LA, MS, AL, FL","+1(504) 872-3925","[""chad@datbandla.com""]","https://datband.com/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.theknot.com/marketplace/dat-band-new-orleans-la-643041","live-wedding-bands","Jefferson, AL"
"Alex Walker Band","N/A","N/A","N/A","+1(334) 717-1223","[""N/A""]","N/A","https://www.theknot.com/marketplace/alex-walker-band-midway-al-2085309","live-wedding-bands","Jefferson, AL"
"Emerald Empire Band","N/A","Starting Cost: $$ – Affordable","Performing throughout the Southeast!","+1(904) 629-6219","[""info@emeraldempireband.com""]","https://www.EmeraldEmpireBand.com/?utm_id=&utm_medium=directory&utm_source=theknot.com&utm_campaign=weddings&utm_content=website_button&utm_source_platform=profile&utm_marketing_tactic=acquisition&utm_creative_format=link&utm_term=wedding_band&a=35&n=180&link_creation_date=2023-10-23&c=&b=PerMonth&lang=&utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.theknot.com/marketplace/emerald-empire-band-birmingham-al-1010557","live-wedding-bands","Jefferson, AL"
"Ready-or-Knot","N/A","Starting Cost: $$ – Affordable","Alabama, Georgia, Louisiana, Florida","+1(678) 346-8487","[""azizzllc88@gmail.com""]","http://Musicgardenbands.com","https://www.theknot.com/marketplace/readyorknot-mobile-al-2075907","live-wedding-bands","Jefferson, AL"
"The Park Band","N/A","N/A","N/A","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/the-park-band-troy-al-489109","live-wedding-bands","Jefferson, AL"
"Lisa Perkins & The E-Lusion Band","N/A","N/A","Serving Alabama & All states","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/lisa-perkins-and-the-elusion-band-wetumpka-al-833981","live-wedding-bands","Jefferson, AL"
"Bama Breeze Band","N/A","N/A","Alabama, east Mississippi, west Georgia, panhandle  florida","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/bama-breeze-band-montgomery-al-501709","live-wedding-bands","Jefferson, AL"
"Big Brothers Boombox","N/A","N/A","N/A","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/big-brothers-boombox-grovetown-ga-2054237","live-wedding-bands","Jefferson, AL"
"Tapestry","N/A","N/A","2213 E. Aberdeen Dr, Montgomery, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/tapestry-montgomery-al-802853","live-wedding-bands","Jefferson, AL"
"Flowers by Amanda","N/A","N/A","AL, GA, FL, MS, TN","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/flowers-by-amanda-deatsville-al-565604","florists","Jefferson, AL"
"Ivywood Florist","N/A","N/A","604 E Lee St, Enterprise, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/ivywood-florist-enterprise-al-368830","florists","Jefferson, AL"
"Capitol's Rosemont Gardens","N/A","N/A","2210 Rosemont Pl., Montgomery, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/capitols-rosemont-gardens-montgomery-al-368519","florists","Jefferson, AL"
"Austin's Flowers & Gifts","N/A","N/A","118 Company St, Wetumpka, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/austins-flowers-and-gifts-wetumpka-al-369155","florists","Jefferson, AL"
"Tea Olive Designs","N/A","N/A","Serving all of Alabama","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/tea-olive-designs-prattville-al-1061035","florists","Jefferson, AL"
"Southern Posies","N/A","N/A","Montgomery, Birmingham","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/southern-posies-cecil-al-891823","florists","Jefferson, AL"
"Gerald's Flowers and Gifts","N/A","N/A","N/A","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/geralds-flowers-and-gifts-troy-al-2034332","florists","Jefferson, AL"
"Maxine's Flowers & Gifts LLC","N/A","N/A","816 S 3 Notch St, Troy, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/maxines-flowers-and-gifts-llc-troy-al-368916","florists","Jefferson, AL"
"Al's Flowers","N/A","N/A","1725 Carter Hill Rd, Montgomery, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/als-flowers-montgomery-al-834557","florists","Jefferson, AL"
"Evan & Co.","N/A","N/A","Serving Alabama, Georgia and beyond","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/evan-and-co-montgomery-al-558776","florists","Jefferson, AL"
"Lee & Lan Florist","N/A","N/A","3365 Atlanta Hwy, Montgomery, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/lee-and-lan-florist-montgomery-al-432396","florists","Jefferson, AL"
"Making Exquisite Memories","N/A","Starting Cost: $$ – Affordable","Montgomery, Birmingham,Mobile, Atlanta","+1(334) 654-2628","[""makingexquisitememories7@gmail.com""]","https://www.facebook.com/people/Making-Exquisite-Memories/100091621073179/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.theknot.com/marketplace/making-exquisite-memories-demopolis-al-2076013","wedding-planners","Jefferson, AL"
"Elite Event Planning","N/A","N/A","Serving Montgomery and Surrounding Areas","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/elite-event-planning-montgomery-al-600723","wedding-planners","Jefferson, AL"
"Captivation Wedding Events","N/A","N/A","Alabama, Georgia, Florida, Louisiana and Mississippi.","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/captivation-wedding-events-prattville-al-1090419","wedding-planners","Jefferson, AL"
"Le Rae Events and Design","N/A","N/A","N/A","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/le-rae-events-and-design-grady-al-748215","wedding-planners","Jefferson, AL"
"Creative Events & Party Rentals","N/A","N/A","1676 South Memorial Drive Hwy 31, Prattville, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/creative-events-and-party-rentals-prattville-al-525609","wedding-planners","Jefferson, AL"
"Weddings by Nichelle","N/A","N/A","N/A","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/weddings-by-nichelle-dothan-al-985423","wedding-planners","Jefferson, AL"
"Mary Me","N/A","N/A","N/A","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/mary-me-pike-road-al-775064","wedding-planners","Jefferson, AL"
"Kimberly Smith Events","N/A","N/A","Alabama, Florida, Georgia, and beyond *travel welcomed*","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/kimberly-smith-events-dothan-al-756613","wedding-planners","Jefferson, AL"
"Special Touch Events","N/A","N/A","N/A","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/special-touch-events-montgomery-ga-1024348","wedding-planners","Jefferson, AL"
"Southern Belle Affairs","N/A","N/A","Montgomery, AL and 100 mile radius.  Other areas considered","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/southern-belle-affairs-montgomery-al-1037772","wedding-planners","Jefferson, AL"
"Elegant Decor","N/A","N/A","124 NORTH COURT SQUARE, Ozark, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/elegant-decor-ozark-al-1012376","wedding-planners","Jefferson, AL"
"Bradshaw's Jewelers","N/A","N/A","4355 Montgomery Highway, Dothan, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/bradshaws-jewelers-dothan-al-586585","jewelers","Jefferson, AL"
"Marquirette's Exquisite Jewelry","N/A","N/A","7818 Vaughn Rd, Montgomery, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/marquirettes-exquisite-jewelry-montgomery-al-494908","jewelers","Jefferson, AL"
"Bryan Jewelry","N/A","N/A","1876 East Main Street, Prattville, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/bryan-jewelry-prattville-al-632943","jewelers","Jefferson, AL"
"Tiers of Sweetness","N/A","Starting Cost: $$ – Affordable","112 Company St., Wetumpka, AL","+1(334) 612-9244","[""tiersofsweetness@gmail.com""]","http://www.tiersofsweetness.com/","https://www.theknot.com/marketplace/tiers-of-sweetness-wetumpka-al-877004","wedding-cake-bakeries","Jefferson, AL"
"Ashlyn's Cake Cottage","N/A","N/A","3761 Grandview Road, Millbrook, AL","+1(334) 517-6108","[""ashlynscakecottage@ymail.com""]","https://www.facebook.com/profile.php?id=100063466902967","https://www.theknot.com/marketplace/ashlyns-cake-cottage-millbrook-al-850588","wedding-cake-bakeries","Jefferson, AL"
"FPH Bakery","N/A","N/A","108 Conecuh Avenue, Union Springs, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/fph-bakery-union-springs-al-2058700","wedding-cake-bakeries","Jefferson, AL"
"M.Y. Cakes and Pastries","N/A","N/A","AL, GA, FL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/my-cakes-and-pastries-dothan-al-2067598","wedding-cake-bakeries","Jefferson, AL"
"Cakes By Butta","N/A","N/A","N/A","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/cakes-by-butta-andalusia-al-2057011","wedding-cake-bakeries","Jefferson, AL"
"Cake Designs","N/A","N/A","3651 Debby Drive, Montgomery, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/cake-designs-montgomery-al-342435","wedding-cake-bakeries","Jefferson, AL"
"Ted the Mobile Bar","N/A","Starting Cost: $$ – Affordable","Prattville, Prattville, AL","+1(334) 312-5332","[""tedthemobilebar@gmail.com""]","https://www.facebook.com/profile.php?id=61552006988731&mibextid=dGKdO6&utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.theknot.com/marketplace/ted-the-mobile-bar-prattville-al-2082866","bar-services","Jefferson, AL"
"Tru Events & Company","N/A","Starting Cost: $$ – Affordable","Tri-State Area, Lower Alabama","+1(334) 596-2659","[""trueventscompany@gmail.com""]","https://www.facebook.com/profile.php?id=100087507665553&utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.theknot.com/marketplace/tru-events-and-company-dothan-al-2074493","bar-services","Jefferson, AL"
"Tap Truck Auburn","N/A","N/A","Lee County and all surrounding areas","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/tap-truck-auburn-wetumpka-al-2059185","bar-services","Jefferson, AL"
"Tip Top Bartending","N/A","N/A","Licensed in all 50 states!","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/tip-top-bartending-montgomery-al-2038105","bar-services","Jefferson, AL"
"Pour Crazy Bartending Services","N/A","N/A","Alabama","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/pour-crazy-bartending-services-montgomery-al-2070206","bar-services","Jefferson, AL"
"Naman's Catering","N/A","Starting Cost: $$ – Affordable","2961 Dauphin Island Parkway, Mobile, AL","+1(251) 473-3900","[""anaman@namanscatering.com""]","http://namanscatering.com/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.theknot.com/marketplace/namans-catering-mobile-al-223309","catering","Jefferson, AL"
"Wow Catering","N/A","N/A","35 Kowaliga Road, Eclectic, AL","+1(334) 320-7147","[""wowcateringllc@gmail.com""]","https://www.icatertoyou.com/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.theknot.com/marketplace/wow-catering-eclectic-al-2040724","catering","Jefferson, AL"
"A Social Event Catering","N/A","N/A","Montgomery","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/a-social-event-catering-montgomery-al-238835","catering","Jefferson, AL"
"Parker Foods, LLC DBA B. Graves","N/A","N/A","65 W Court Square, Troy, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/parker-foods-llc-dba-b-graves-troy-al-1023878","catering","Jefferson, AL"
"Fazoli's","N/A","N/A","River Region, Auburn, Troy, Greenville","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/fazolis-montgomery-al-2068818","catering","Jefferson, AL"
"Pam's Incredible Edibles","N/A","N/A","11123 Chantilly Pkwy Unit F, Montgomery, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/pams-incredible-edibles-montgomery-al-993529","catering","Jefferson, AL"
"Sips on the Square Catering","N/A","N/A","N/A","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/sips-on-the-square-catering-troy-al-990563","catering","Jefferson, AL"
"Springhouse Restaurant","N/A","N/A","12 Benson Mill Road, Alexander, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/springhouse-restaurant-alexander-al-951728","catering","Jefferson, AL"
"Needmore Heart","N/A","N/A","N/A","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/needmore-heart-troy-al-1032180","wedding-decor-shops","Jefferson, AL"
"Live in Living Watercolor","N/A","N/A","Wiregrass and Lower Alabama","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/live-in-living-watercolor-ozark-al-2061044","wedding-soloists-ensembles","Jefferson, AL"
"Style Dots","N/A","N/A","40 S Glenwood Avenue, Luverne, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/style-dots-luverne-al-2051795","favors","Jefferson, AL"
"Preppy Monogrammed Gifts","N/A","N/A","7056 Atlanta Highway, Montgomery, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/preppy-monogrammed-gifts-montgomery-al-278883","favors","Jefferson, AL"
"Sweet Jonesin Candy Buffet & Designs","N/A","N/A","4009  Amberly Rd, Montgomery, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/sweet-jonesin-candy-buffet-and-designs-montgomery-al-963246","favors","Jefferson, AL"
"Dear Margo Designs","N/A","N/A","N/A","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/dear-margo-designs-selma-al-2040924","invitations","Jefferson, AL"
"NeonBlue","N/A","N/A","N/A","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/neonblue-montgomery-al-865947","invitations","Jefferson, AL"
"Everbloom Paper","N/A","N/A","N/A","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/everbloom-paper-montgomery-al-1011739","invitations","Jefferson, AL"
"The Savvy Pointe","N/A","N/A","Southeastern States - AL, FL, GA, NO, MS","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/the-savvy-pointe-montgomery-al-2060844","wedding-officiants","Jefferson, AL"
"Rich Relationships Us","N/A","N/A","U.S.A","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/rich-relationships-us-montgomery-al-2047870","wedding-officiants","Jefferson, AL"
"Marriage Today 1","N/A","N/A","Florida & Alabama","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/marriage-today-1-mobile-al-1067288","wedding-officiants","Jefferson, AL"
"Rev Spencer Hall","N/A","N/A","N/A","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/rev-spencer-hall-dothan-al-994787","wedding-officiants","Jefferson, AL"
"Joyful Ceremonies","N/A","N/A","Alabama at large","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/joyful-ceremonies-deatsville-al-1009645","wedding-officiants","Jefferson, AL"
"Signature Memories by Patrice","N/A","N/A","Montgomery, Prattville, Wetumpka","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/signature-memories-by-patrice-montgomery-al-2034431","wedding-photo-booth-rentals","Jefferson, AL"
"Mac The Camera Guy Photography","N/A","N/A","Montgomery Prattville Troy","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/mac-the-camera-guy-photography-montgomery-al-849160","wedding-photo-booth-rentals","Jefferson, AL"
"Lake Point Vineyard and Winery","Up to 50","Starting Cost: $$$$ – Luxury","Central Alabama","+1(334) 517-8334","[""lakepointvineyard@gmail.com""]","https://lakepointvineyard.org/","https://www.theknot.com/marketplace/lake-point-vineyard-and-winery-mathews-al-2080269","rehearsal-dinners-bridal-showers","Jefferson, AL"
"Azalea Cove Waterside","N/A","N/A","35 Pebble Creek Drive, Alexander City, AL","+1(205) 601-6668,1","[""stevecox2331@gmail.com""]","http://www.azaleacovewaterside.com/","https://www.theknot.com/marketplace/azalea-cove-waterside-alexander-city-al-2075198","rehearsal-dinners-bridal-showers","Jefferson, AL"
"Seven Gables","Up to 300","N/A","650 Gilmer Avenue, Tallassee, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/seven-gables-tallassee-al-996877","rehearsal-dinners-bridal-showers","Jefferson, AL"
"Pyro Productions Inc.","N/A","N/A","The Southeast","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/pyro-productions-inc-dothan-al-2078724","wedding-rentals","Jefferson, AL"
"American Rental and Tent Company","N/A","N/A","Montgomery AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/american-rental-and-tent-company-montgomery-al-534065","wedding-rentals","Jefferson, AL"
"Pope Event Rentals","N/A","N/A","South Alabama and the Florida Panhandle","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/pope-event-rentals-elba-al-415243","wedding-rentals","Jefferson, AL"
"Bay Limousine Service","N/A","N/A","526 Kornegay St, Dothan, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/bay-limousine-service-dothan-al-1018034","transportation-services","Jefferson, AL"
"Honeymoons & Vacations by Vonda","N/A","N/A","N/A","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/honeymoons-and-vacations-by-vonda-dothan-al-984634","wedding-travel-agents","Jefferson, AL"
