"heading","guestCapacity","startingPrice","address","city","state","phoneNumber","emailAddresses","websiteLink","facebookLink","instagramLink","pinterestLink","knotPageLink","category","location"
"Laura Tavarez Photography","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/laura-tavarez-photography-visalia-ca-1052603","wedding-photographers","Fresno, CA"
"Team Ro Productions","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/team-ro-productions-fresno-ca-2040125","wedding-photographers","Fresno, CA"
"Gina Escamilla Photography and Cinematography","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/gina-escamilla-photography-and-cinematography-bakersfield-ca-846561","wedding-photographers","Fresno, CA"
"Stephen Berling Photography","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/stephen-berling-photography-clovis-ca-2063559","wedding-photographers","Fresno, CA"
"Ashley DePencier Photography","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/ashley-depencier-photography-bakersfield-ca-628454","wedding-photographers","Fresno, CA"
"Stephanie Lemus Photography","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/stephanie-lemus-photography-bakersfield-ca-2063782","wedding-photographers","Fresno, CA"
"Quin Photo","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/quin-photo-visalia-ca-2003651","wedding-photographers","Fresno, CA"
"OhLovelyPhotography","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/ohlovelyphotography-clovis-ca-1025657","wedding-photographers","Fresno, CA"
"McTeerproductions","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/mcteerproductions-fresno-ca-2059442","wedding-photographers","Fresno, CA"
"Convex Photography","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/convex-photography-clovis-ca-2030279","wedding-photographers","Fresno, CA"
"The Photegé","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/the-photege-bakersfield-ca-2019758","wedding-photographers","Fresno, CA"
"Djukich Studios","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/djukich-studios-state-of-california-ca-995949","wedding-photographers","Fresno, CA"
"Adam Allen Photography","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/adam-allen-photography-fresno-ca-339130","wedding-photographers","Fresno, CA"
"Megan Helm Photography","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/megan-helm-photography-dinuba-ca-1022875","wedding-photographers","Fresno, CA"
"AZahn Photography & Cinematography","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/azahn-photography-and-cinematography-bakersfield-ca-391005","wedding-photographers","Fresno, CA"
"Vivre d'Amour","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/vivre-damour-fresno-ca-830751","wedding-photographers","Fresno, CA"
"Hilary Halls Photography","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/hilary-halls-photography-clovis-ca-2049295","wedding-photographers","Fresno, CA"
"Kirsten Bullard","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/kirsten-bullard-paso-robles-ca-1084626","wedding-photographers","Fresno, CA"
"Desert Paintbrush","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/desert-paintbrush-springdale-ut-2060625","wedding-photographers","Fresno, CA"
"Alpenlight Photography","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/alpenlight-photography-b-ca-2039554","wedding-photographers","Fresno, CA"
"Abbys Photography","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/abbys-photography-bakersfield-ca-437631","wedding-photographers","Fresno, CA"
"InMotion.pro","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/inmotionpro-bakersfield-ca-563172","wedding-photographers","Fresno, CA"
"Joshua Bell Photography","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/joshua-bell-photography-san-francisco-ca-2060933","wedding-photographers","Fresno, CA"
"N/A","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/christina-piombetti-photography-wolfville-ns-1090105","wedding-photographers","Fresno, CA"
"May Twenty And Five","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/may-twenty-and-five-sanger-ca-2034922","wedding-photographers","Fresno, CA"
"TREES & SEAS PHOTOGRAPHY","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/trees-and-seas-photography-fresno-ca-1084610","wedding-photographers","Fresno, CA"
"KelliAnne Photography","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/kellianne-photography-fresno-ca-1053441","wedding-photographers","Fresno, CA"
"Quaid Photo + Film","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/quaid-photo-+-film-fresno-ca-2048202","wedding-photographers","Fresno, CA"
"Thomas North Photography","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/thomas-north-photography-bakersfield-california-ca-2070716","wedding-photographers","Fresno, CA"
"Cindy Green Love Photo","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/cindy-green-love-photo-west-hills-ca-2010301","wedding-photographers","Fresno, CA"
"Amanda Bailey Photography","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/amanda-bailey-photography-texas-city-tx-479591","wedding-photographers","Fresno, CA"
"Menyhay Photography","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/menyhay-photography-clovis-ca-2072152","wedding-photographers","Fresno, CA"
"Bridgett Reid Photography","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/bridgett-reid-photography-fresno-ca-2004044","wedding-photographers","Fresno, CA"
"Morgan-Raquel & Co.","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/morganraquel-and-co-reisterstown-md-720781","wedding-photographers","Fresno, CA"
"Kelsey Burnett Photo","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/kelsey-burnett-photo-hanford-ca-2057806","wedding-photographers","Fresno, CA"
"MT Photo Co.","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/mt-photo-co-fresno-ca-964486","wedding-photographers","Fresno, CA"
"The Clausen Gallery","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/the-clausen-gallery-frenso-ca-1036696","wedding-photographers","Fresno, CA"
"Misty Dameron Photography","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/misty-dameron-photography-bakersfield-ca-391123","wedding-photographers","Fresno, CA"
"Algiers Photography","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/algiers-photography-fresno-ca-548595","wedding-photographers","Fresno, CA"
"A&E Burton Photography","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/aande-burton-photography-visalia-ca-601638","wedding-photographers","Fresno, CA"
"Delona Photography","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/delona-photography-fresno-ca-598969","wedding-photographers","Fresno, CA"
"XO Photo Company","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/xo-photo-company-fullerton-ca-2014556","wedding-photographers","Fresno, CA"
"Vans Studio ~ Photography by Tess Danielle","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/vans-studio-photography-by-tess-danielle-shaver-lake-ca-607575","wedding-photographers","Fresno, CA"
"Boone & Stacie","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/boone-and-stacie-bakersfield-ca-553863","wedding-photographers","Fresno, CA"
"Edith Barfield Uno's Photography","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/edith-barfield-unos-photography-santa-barbara-ca-2019736","wedding-photographers","Fresno, CA"
"CC Williams Imagery","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/cc-williams-imagery-coarsegold-ca-2027503","wedding-photographers","Fresno, CA"
"Ambient Art Photography","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/ambient-art-photography-fresno-ca-1060689","wedding-photographers","Fresno, CA"
"Gingi Freeman Photography","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/gingi-freeman-photography-visalia-ca-1029950","wedding-photographers","Fresno, CA"
"Studio Lovejoy","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/studio-lovejoy-san-juan-bautista-ca-519177","wedding-photographers","Fresno, CA"
"IRENE M PHOTO","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/irene-m-photo-tulare-ca-2063660","wedding-photographers","Fresno, CA"
"Alora McGuire Photography","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/alora-mcguire-photography-arroyo-grande-ca-996295","wedding-photographers","Fresno, CA"
"Tyler James Photography","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/tyler-james-photography-fresno-ca-2050063","wedding-photographers","Fresno, CA"
"Craig Kohlruss Photography","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/craig-kohlruss-photography-clovis-ca-250526","wedding-photographers","Fresno, CA"
"Matlyn May Photography","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/matlyn-may-photography-sanger-ca-2029692","wedding-photographers","Fresno, CA"
"Amy Wellenkamp Photographer","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/amy-wellenkamp-photographer-nipomo-ca-442469","wedding-photographers","Fresno, CA"
"Wicked Haute Pinup & Boudoir Photography","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/wicked-haute-pinup-and-boudoir-photography-fresno-ca-1021480","wedding-photographers","Fresno, CA"
"Lomeli Images","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/lomeli-images-fresno-ca-647327","wedding-photographers","Fresno, CA"
"Human Nature Photography","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/human-nature-photography-visalia-ca-394981","wedding-photographers","Fresno, CA"
"Alexandria Vail Photography","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/alexandria-vail-photography-fresno-ca-1030840","wedding-photographers","Fresno, CA"
"Tucker Horton Media","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/tucker-horton-media-hume-ca-2052257","wedding-photographers","Fresno, CA"
"Alyssa Michele Photo","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/alyssa-michele-photo-fresno-ca-2054375","wedding-photographers","Fresno, CA"
"Captured by Miriam","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/captured-by-miriam-dinuba-ca-2049564","wedding-photographers","Fresno, CA"
"Weddings Recorded","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/weddings-recorded-los-angeles-ca-2009141","wedding-photographers","Fresno, CA"
"Open Iris Photography","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/open-iris-photography-bakersfield-ca-567171","wedding-photographers","Fresno, CA"
"Ninety Nine Photo Event Photography","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/ninety-nine-photo-event-photography-pismo-beach-ca-875829","wedding-photographers","Fresno, CA"
"The Kenny Show Photobooth Company","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/the-kenny-show-photobooth-company-selma-ca-2039447","wedding-photographers","Fresno, CA"
"Gwen Corona Photography","N/A","n/a","N/A","N/A","N/A","+1(661) 333-0838","gwencoronaphoto@gmail.com","https://www.gwencoronaphoto.com/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","N/A","http://www.instagram.com/hello_enamorada","N/A","https://www.theknot.com/marketplace/gwen-corona-photography-bakersfield-ca-2082165","wedding-videographers","Fresno, CA"
"Jared Belt Media","N/A","n/a","N/A","N/A","N/A","+1(559) 372-9687","jared@thecinematicweddingcompany.com","http://www.jaredbeltmedia.com/","https://www.facebook.com/cinematicweddingco","http://www.instagram.com/jaredbelt_media","N/A","https://www.theknot.com/marketplace/jared-belt-media-fresno-ca-2066644","wedding-videographers","Fresno, CA"
"EP Focused Media","N/A","n/a","N/A","N/A","N/A","+1(559) 406-5428","epfocusedmedia@gmail.com","https://www.instagram.com/epfocusedmedia/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","N/A","http://www.instagram.com/epfocusedmedia","N/A","https://www.theknot.com/marketplace/ep-focused-media-dinuba-ca-2087239","wedding-videographers","Fresno, CA"
"War & Peace Productions","N/A","n/a","N/A","N/A","N/A","+1(559) 946-1588","wyattarobison@gmail.com","https://www.warandpeaceproduction.com","N/A","http://www.instagram.com/wyattarobison","N/A","https://www.theknot.com/marketplace/war-and-peace-productions-visalia-ca-2076495","wedding-videographers","Fresno, CA"
"OMEGA FILMZ","N/A","n/a","N/A","N/A","N/A","+1(559) 679-7825","omegafilmz356@gmail.com","https://www.omegafilmz.com/","https://www.facebook.com/profile.php?id=100084101179139&mibextid=LQQJ4d","http://www.instagram.com/omegafilmz_","N/A","https://www.theknot.com/marketplace/omega-filmz-visalia-ca-2081452","wedding-videographers","Fresno, CA"
"Everything Visual","N/A","n/a","N/A","N/A","N/A","+1(559) 908-0147","evweddingsonline@gmail.com","http://www.everythingvisualweddings.com?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/EVWeddings/","http://www.instagram.com/http://instagram.com/e.v.weddings","N/A","https://www.theknot.com/marketplace/everything-visual-clovis-ca-2035662","wedding-videographers","Fresno, CA"
"Evermoore Films","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/evermoore-films-bakersfield-ca-524048","wedding-videographers","Fresno, CA"
"jj films","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/jj-films-san-luis-obispo-ca-2025679","wedding-videographers","Fresno, CA"
"Edgar Anthony Films","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/edgar-anthony-films-fresno-ca-2033829","wedding-videographers","Fresno, CA"
"Stellar Lense Productions","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/stellar-lense-productions-fresno-ca-439690","wedding-videographers","Fresno, CA"
"FilmedbyOjeda","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/filmedbyojeda-fresno-ca-2053547","wedding-videographers","Fresno, CA"
"Einstein Visuals","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/einstein-visuals-bakersfield-ca-2063713","wedding-videographers","Fresno, CA"
"Capture the Knot","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/capture-the-knot-fresno-ca-2006376","wedding-videographers","Fresno, CA"
"Sam and Greg weddings","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/sam-and-greg-weddings-mammoth-lakes-ca-2012238","wedding-videographers","Fresno, CA"
"Sb Photo Film","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/sb-photo-film-selma-ca-2048639","wedding-videographers","Fresno, CA"
"Homemade Love Stories","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/homemade-love-stories-lemoore-ca-2027046","wedding-videographers","Fresno, CA"
"Indigo Marketing","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/indigo-marketing-bakersfield-ca-2048795","wedding-videographers","Fresno, CA"
"CTV Weddings","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/ctv-weddings-fresno-ca-2007952","wedding-videographers","Fresno, CA"
"Cory Media Group","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/cory-media-group-springville-ca-2021461","wedding-videographers","Fresno, CA"
"The Filming Israel","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/the-filming-israel-tulare-ca-2054422","wedding-videographers","Fresno, CA"
"Daydream Creative Company","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/daydream-creative-company-clovis-ca-2059654","wedding-videographers","Fresno, CA"
"Destiny Wedding Video","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/destiny-wedding-video-los-angeles-ca-2049014","wedding-videographers","Fresno, CA"
"Justice Film","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/justice-film-fresno-ca-2000750","wedding-videographers","Fresno, CA"
"Jonathan Fulvio Cinema","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/jonathan-fulvio-cinema-fresno-ca-1087117","wedding-videographers","Fresno, CA"
"Frames By Frisby","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/frames-by-frisby-fresno-ca-2039668","wedding-videographers","Fresno, CA"
"Yang Productions","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/yang-productions-fresno-ca-2083975","wedding-videographers","Fresno, CA"
"Treebeard Productions","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/treebeard-productions-fresno-ca-2050623","wedding-videographers","Fresno, CA"
"Silver Canvas Films","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/silver-canvas-films-kingsburg-ca-2053294","wedding-videographers","Fresno, CA"
"360 Wedding Memories","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/360-wedding-memories-kingsburg-ca-2008270","wedding-videographers","Fresno, CA"
"Adventisthermes","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/adventisthermes-bakersfield-ca-2065260","wedding-videographers","Fresno, CA"
"KRP Media Creations","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/krp-media-creations-kernville-ca-2048759","wedding-videographers","Fresno, CA"
"Studio West Video","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/studio-west-video-bakersfield-ca-310042","wedding-videographers","Fresno, CA"
"Throttle Up Media","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/throttle-up-media-fresno-ca-593454","wedding-videographers","Fresno, CA"
"L&D Wedding Videos","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/landd-wedding-videos-fresno-ca-395369","wedding-videographers","Fresno, CA"
"Lights Camera Action Cinema","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/lights-camera-action-cinema-bakersfield-ca-873069","wedding-videographers","Fresno, CA"
"Stitched Films","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/stitched-films-clovis-ca-962800","wedding-videographers","Fresno, CA"
"Tale Spun Films","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/tale-spun-films-exeter-ca-647458","wedding-videographers","Fresno, CA"
"Enrique Meza - Wedding Films","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/enrique-meza-wedding-films-fresno-ca-891204","wedding-videographers","Fresno, CA"
"Jeffrey Cook Videography","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/jeffrey-cook-videography-fresno-ca-604861","wedding-videographers","Fresno, CA"
"Scarlette Pixels Photography","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/scarlette-pixels-photography-bakersfield-ca-1039227","wedding-videographers","Fresno, CA"
"Friar Tux","N/A","n/a","N/A","N/A","N/A","+1(877) 320-0050","contact@friartux.com","https://www.friartux.com","https://www.facebook.com/friartuxshop","http://www.instagram.com/friartux","http://www.pinterest.com/friartuxshop","https://www.theknot.com/marketplace/friar-tux-glendale-ca-2016723","bridal-salons","Fresno, CA"
"Ivory Bridal Boutique","N/A","n/a","N/A","N/A","N/A","+1(559) 712-0669","kacy@ivorybridalboutique.com","http://ivorybridalboutique.com?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/ivorybridalclovis","http://www.instagram.com/ivory_bridalboutique","N/A","https://www.theknot.com/marketplace/ivory-bridal-boutique-clovis-ca-2012868","bridal-salons","Fresno, CA"
"Ella Grace Bridal Boutique","N/A","n/a","N/A","N/A","N/A","+1(559) 439-2032","smile@ellagracebridal.com","https://www.ellagracebridal.com/contact?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/EllaGraceBridalInc","http://www.instagram.com/EllaGraceBridal","N/A","https://www.theknot.com/marketplace/ella-grace-bridal-boutique-fresno-ca-2070270","bridal-salons","Fresno, CA"
"New City Cleaners","N/A","n/a","N/A","N/A","N/A","+1(888) 381-9414","jlepp@newcitycleaners.com","http://www.newcitycleaners.com?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","N/A","N/A","N/A","https://www.theknot.com/marketplace/new-city-cleaners-bakersfield-ca-567019","bridal-salons","Fresno, CA"
"Sew Elegant Bridal Veils and Alterations","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/sew-elegant-bridal-veils-and-alterations-bakersfield-ca-894757","bridal-salons","Fresno, CA"
"LBD Bridal and Tuxedos  (formerly Little Black Dress)","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/lbd-bridal-and-tuxedos-formerly-little-black-dress-fresno-ca-821969","bridal-salons","Fresno, CA"
"Daughters of Simone","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/daughters-of-simone-fresno-ca-1037170","bridal-salons","Fresno, CA"
"Madeleine's Bridal Boutique","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/madeleines-bridal-boutique-clovis-ca-665141","bridal-salons","Fresno, CA"
"Ladies and Gents Bridal","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/ladies-and-gents-bridal-bakersfield-ca-331395","bridal-salons","Fresno, CA"
"Enchanted Bridal Boutique","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/enchanted-bridal-boutique-bakersfield-ca-949523","bridal-salons","Fresno, CA"
"Black Tie & Bridal Lace","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/black-tie-and-bridal-lace-fresno-ca-265438","bridal-salons","Fresno, CA"
"Ivy & Lace Bridal","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/ivy-and-lace-bridal-hanford-ca-2047639","bridal-salons","Fresno, CA"
"Annabelle's Bridal Boutique","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/annabelles-bridal-boutique-visalia-ca-391368","bridal-salons","Fresno, CA"
"Lyra Vega Bridal","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/lyra-vega-bridal-boston-ma-1071420","bridal-salons","Fresno, CA"
